Tema,Serviço,Canal
2189,Comunicação de não conversão de RPS,424
Acessibilidade,Acessibilidade - Solicitar fiscalização em edificações,228
Animais,Avaliação de animal em sofrimento sem proprietário para eutanásia (morte sem dor),1853
Animais,Avisar sobre animal agressor em vias públicas,3027
Animais,Cães e gatos invasores de instituições públicas - Solicitar avaliação,582
Animais,Denunciar condições inadequadas de criação,4282
Animais,Denunciar local com escorpião,434
Animais,Denunciar local com roedores/ratos,4839
Animais,Denúncia de local com pombos,725
Animais,Morcego - Reclamar sobre local com morcego,312
Animais,Remoção de animal morto em via pública,1497
Animais,Solicitar avaliação de local com pernilongo/mosquito,2302
Animais,Vistoria de colmeia/vespeiro instalado,5294
Bilhete Único,Bilhete Único - Falha na recarga,327
Bilhete Único,Comunicação de erro em cobrança de integração (ônibus e metrô ou trem),1750
Bilhete Único,Comunicação de problema em posto de recarga,1051
Bilhete Único,Problemas no cadastro,840
Canais de Atendimento,Central 156 - Elogio,318
Canais de Atendimento,Central 156 - Reclamação,799
Cidadania e assistência social,Serviço Especializado de Abordagem Social às Pessoas em Situação de Rua - SEAS,10785
Comércio e serviços,"Comércio, serviço e indústria - solicitar fiscalização de funcionamento",9816
Comércio e serviços,Denúncia de edificação não adaptada às normas de segurança,2055
Comércio e serviços,Fiscalização de comida de rua,278
Lixo e limpeza,Cata Bagulho - Reclamação de não retirada de material,1441
Lixo e limpeza,Denunciar descarte irregular de entulho e outros resíduos em área pública,12312
Lixo e limpeza,Denúncia de calçada particular suja/sem limpeza adequada,791
Lixo e limpeza,Denúncia de caçamba de entulho,923
Lixo e limpeza,Denúncia de caçamba de entulho de obra/construção,291
Lixo e limpeza,Denúncia de falta de limpeza em imóveis particulares,1333
Lixo e limpeza,Denúncia de grande gerador de resíduos colocando lixo na coleta normal,243
Lixo e limpeza,Denúncia de lixão clandestino,754
Lixo e limpeza,Denúncia de má conduta dos funcionários (motoristas /coletores),844
Lixo e limpeza,Instalação de contêiner para coleta de lixo domiciliar,337
Lixo e limpeza,Instalação e remoção de lixeira,687
Lixo e limpeza,Limpar lixeiras públicas,372
