ano,tema,serviço,geometria,caminho,resgistros
2020,Comércio e serviços,Denunciar estabelecimento que se manteve aberto durante a crise do Coronavirus,poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/denunciar-estabelecimento-que-se-manteve-aberto-durante-a-crise-do-coronavirus.gpkg,96
2020,Comércio e serviços,Denunciar estabelecimento que não fornece álcool em gel ou permite entrada sem máscara durante a crise do Coronavírus,poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/denunciar-estabelecimento-que-nao-fornece-alcool-em-gel-ou-permite-entrada-sem-mascara-durante-a-crise-do-coronavirus.gpkg,95
2020,Comércio e serviços,"Comércio, serviço e indústria - solicitar fiscalização de funcionamento",poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/comercio-servico-e-industria-solicitar-fiscalizacao-de-funcionamento.gpkg,95
2020,Comércio e serviços,Solicitar fiscalização de estabelecimento com venda de bebida alcoólica entre 1h e 5h da manhã,poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/solicitar-fiscalizacao-de-estabelecimento-com-venda-de-bebida-alcoolica-entre-1h-e-5h-da-manha.gpkg,84
2020,Comércio e serviços,Denúncia de edificação não adaptada às normas de segurança,poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/denuncia-de-edificacao-nao-adaptada-as-normas-de-seguranca.gpkg,66
2020,Comércio e serviços,Denúncia de irregularidade em locais com lotação superior a 250 pessoas,poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/denuncia-de-irregularidade-em-locais-com-lotacao-superior-a-250-pessoas.gpkg,34
2020,Comércio e serviços,"Denúncia de condições inadequadas de equipamentos de transportes (elevadores, escadas rolantes, plataforma de elevação vertical)",poligono,resultados/ultimos-6-meses/comercio-e-servicos/poligonos/denuncia-de-condicoes-inadequadas-de-equipamentos-de-transportes-elevadores-escadas-rolantes-plataforma-de-elevacao-vertical.gpkg,4
2020,Animais,Denunciar local com roedores/ratos,poligono,resultados/ultimos-6-meses/animais/poligonos/denunciar-local-com-roedores-ratos.gpkg,95
2020,Animais,Denunciar condições inadequadas de criação,poligono,resultados/ultimos-6-meses/animais/poligonos/denunciar-condicoes-inadequadas-de-criacao.gpkg,96
2020,Animais,Denúncia de local com pombos,poligono,resultados/ultimos-6-meses/animais/poligonos/denuncia-de-local-com-pombos.gpkg,92
2020,Animais,Solicitar atendimento de animais silvestres acidentados ou feridos,poligono,resultados/ultimos-6-meses/animais/poligonos/solicitar-atendimento-de-animais-silvestres-acidentados-ou-feridos.gpkg,84
