ano,tema,serviço,geometria,caminho,resgistros
2015,Trânsito e Transporte,Remoção de veículo/carcaça abandonado na via pública,poligono,resultados/2015/transito-e-transporte/poligonos/remocao-de-veiculo-carcaca-abandonado-na-via-publica.gpkg,96
2015,Trânsito e Transporte,Circulação e acesso de veículos e pessoas - Solicitar avaliação,poligono,resultados/2015/transito-e-transporte/poligonos/circulacao-e-acesso-de-veiculos-e-pessoas-solicitar-avaliacao.gpkg,95
2015,Trânsito e Transporte,"Ônibus - Denúncia de conduta do motorista, cobrador ou fiscal",poligono,resultados/2015/transito-e-transporte/poligonos/onibus-denuncia-de-conduta-do-motorista-cobrador-ou-fiscal.gpkg,96
2015,Trânsito e Transporte,Vaga de estacionamento na via - solicitar análise de proibição,poligono,resultados/2015/transito-e-transporte/poligonos/vaga-de-estacionamento-na-via-solicitar-analise-de-proibicao.gpkg,95
2015,Trânsito e Transporte,Ônibus - Denúncia de alteração de itinerário ou ponto inicial/final,poligono,resultados/2015/transito-e-transporte/poligonos/onibus-denuncia-de-alteracao-de-itinerario-ou-ponto-inicial-final.gpkg,95
2015,Trânsito e Transporte,Intensificar fiscalização de veículos estacionados/parados irregularmente,poligono,resultados/2015/transito-e-transporte/poligonos/intensificar-fiscalizacao-de-veiculos-estacionados-parados-irregularmente.gpkg,95
2015,Trânsito e Transporte,Aviso de interferências no trânsito,poligono,resultados/2015/transito-e-transporte/poligonos/aviso-de-interferencias-no-transito.gpkg,85
2015,Trânsito e Transporte,Instalação de placa com nome de rua,poligono,resultados/2015/transito-e-transporte/poligonos/instalacao-de-placa-com-nome-de-rua.gpkg,91
2015,Trânsito e Transporte,Travessia de pedestres - Solicitar avaliação,poligono,resultados/2015/transito-e-transporte/poligonos/travessia-de-pedestres-solicitar-avaliacao.gpkg,95
2015,Trânsito e Transporte,Vaga de estacionamento na via - solicitar desativação ou modificação,poligono,resultados/2015/transito-e-transporte/poligonos/vaga-de-estacionamento-na-via-solicitar-desativacao-ou-modificacao.gpkg,93
2015,Trânsito e Transporte,Semáforo de veículos e pedestres - Sugerir ajuste de tempo,poligono,resultados/2015/transito-e-transporte/poligonos/semaforo-de-veiculos-e-pedestres-sugerir-ajuste-de-tempo.gpkg,89
2015,Trânsito e Transporte,Denunciar reserva irregular de vaga,poligono,resultados/2015/transito-e-transporte/poligonos/denunciar-reserva-irregular-de-vaga.gpkg,73
2015,Trânsito e Transporte,Fiscalização de uso de vagas reservadas em vias públicas,poligono,resultados/2015/transito-e-transporte/poligonos/fiscalizacao-de-uso-de-vagas-reservadas-em-vias-publicas.gpkg,37
2015,Trânsito e Transporte,Reclamação de obras na via,poligono,resultados/2015/transito-e-transporte/poligonos/reclamacao-de-obras-na-via.gpkg,95
2015,Trânsito e Transporte,Dificuldade de contato telefônico com a SPTrans,poligono,resultados/2015/transito-e-transporte/poligonos/dificuldade-de-contato-telefonico-com-a-sptrans.gpkg,84
2015,Trânsito e Transporte,Sugerir criação e ampliação de estacionamento de veículos em vias públicas,poligono,resultados/2015/transito-e-transporte/poligonos/sugerir-criacao-e-ampliacao-de-estacionamento-de-veiculos-em-vias-publicas.gpkg,95
2015,Trânsito e Transporte,Intensificar fiscalização de veículos em movimento,poligono,resultados/2015/transito-e-transporte/poligonos/intensificar-fiscalizacao-de-veiculos-em-movimento.gpkg,92
2015,Trânsito e Transporte,Denunciar má conduta de empregados da CET,poligono,resultados/2015/transito-e-transporte/poligonos/denunciar-ma-conduta-de-empregados-da-cet.gpkg,85
2015,Trânsito e Transporte,Reclamação de descumprimento de horário do ATENDE,poligono,resultados/2015/transito-e-transporte/poligonos/reclamacao-de-descumprimento-de-horario-do-atende.gpkg,55
2015,Trânsito e Transporte,Cartão Azul Digital (CAD) - Denunciar irregularidade em postos de venda credenciados,poligono,resultados/2015/transito-e-transporte/poligonos/cartao-azul-digital-cad-denunciar-irregularidade-em-postos-de-venda-credenciados.gpkg,11
2015,Trânsito e Transporte,Manutenção de semáforos,poligono,resultados/2015/transito-e-transporte/poligonos/manutencao-de-semaforos.gpkg,92
2015,Trânsito e Transporte,Funcionários da CET - Fazer elogio,poligono,resultados/2015/transito-e-transporte/poligonos/funcionarios-da-cet-fazer-elogio.gpkg,56
2015,Trânsito e Transporte,Manutenção de placa com nome de rua,poligono,resultados/2015/transito-e-transporte/poligonos/manutencao-de-placa-com-nome-de-rua.gpkg,91
2015,Trânsito e Transporte,Solicitar remoção de veículo/carcaça abandonado na via pública,poligono,resultados/2015/transito-e-transporte/poligonos/solicitar-remocao-de-veiculo-carcaca-abandonado-na-via-publica.gpkg,15
2015,Trânsito e Transporte,Sugerir criação e ampliação de vagas para Idoso/Defis em vias públicas,poligono,resultados/2015/transito-e-transporte/poligonos/sugerir-criacao-e-ampliacao-de-vagas-para-idoso-defis-em-vias-publicas.gpkg,69
2015,Trânsito e Transporte,Reclamação de conduta de motorista do ATENDE,poligono,resultados/2015/transito-e-transporte/poligonos/reclamacao-de-conduta-de-motorista-do-atende.gpkg,44
2015,Trânsito e Transporte,Autorização para obras/ serviços na via,poligono,resultados/2015/transito-e-transporte/poligonos/autorizacao-para-obras-servicos-na-via.gpkg,50
2015,Trânsito e Transporte,Solicitar fiscalização de ausência de vagas reservadas em estabelecimento comercial,poligono,resultados/2015/transito-e-transporte/poligonos/solicitar-fiscalizacao-de-ausencia-de-vagas-reservadas-em-estabelecimento-comercial.gpkg,46
2015,Trânsito e Transporte,Solicitar fiscalização de valet,poligono,resultados/2015/transito-e-transporte/poligonos/solicitar-fiscalizacao-de-valet.gpkg,23
2015,Trânsito e Transporte,Plano emergencial (PAESE),poligono,resultados/2015/transito-e-transporte/poligonos/plano-emergencial-paese.gpkg,32
2015,Trânsito e Transporte,Denúncia de valet utilizando via pública como estacionamento,poligono,resultados/2015/transito-e-transporte/poligonos/denuncia-de-valet-utilizando-via-publica-como-estacionamento.gpkg,23
2015,Trânsito e Transporte,Reclamar sobre eventos na via,poligono,resultados/2015/transito-e-transporte/poligonos/reclamar-sobre-eventos-na-via.gpkg,16
2015,Trânsito e Transporte,Denúncia de veículo clandestino ou não credenciado,poligono,resultados/2015/transito-e-transporte/poligonos/denuncia-de-veiculo-clandestino-ou-nao-credenciado.gpkg,9
2015,Rua e bairro,Árvore - solicitar manejo em área pública,poligono,resultados/2015/rua-e-bairro/poligonos/arvore-solicitar-manejo-em-area-publica.gpkg,96
2015,Rua e bairro,Reclamação de poluição sonora - PSIU,poligono,resultados/2015/rua-e-bairro/poligonos/reclamacao-de-poluicao-sonora-psiu.gpkg,96
2015,Rua e bairro,Calçada pública - solicitar manutenção,poligono,resultados/2015/rua-e-bairro/poligonos/calcada-publica-solicitar-manutencao.gpkg,96
2015,Rua e bairro,Reparo de lâmpada,poligono,resultados/2015/rua-e-bairro/poligonos/reparo-de-lampada.gpkg,95
2015,Rua e bairro,Pavimentação de ruas não asfaltadas,poligono,resultados/2015/rua-e-bairro/poligonos/pavimentacao-de-ruas-nao-asfaltadas.gpkg,94
2015,Rua e bairro,Reformar galerias de águas de chuvas (pluviais),poligono,resultados/2015/rua-e-bairro/poligonos/reformar-galerias-de-aguas-de-chuvas-pluviais.gpkg,95
2015,Rua e bairro,Drenagem de água da chuva - Bueiros e bocas de lobo,poligono,resultados/2015/rua-e-bairro/poligonos/drenagem-de-agua-da-chuva-bueiros-e-bocas-de-lobo.gpkg,95
2015,Rua e bairro,Praça e canteiro central - solicitar roçada,poligono,resultados/2015/rua-e-bairro/poligonos/praca-e-canteiro-central-solicitar-rocada.gpkg,96
2015,Rua e bairro,Recapeamento,poligono,resultados/2015/rua-e-bairro/poligonos/recapeamento.gpkg,96
2015,Rua e bairro,Praças - solicitar manutenção de equipamentos de ginástica,poligono,resultados/2015/rua-e-bairro/poligonos/pracas-solicitar-manutencao-de-equipamentos-de-ginastica.gpkg,90
2015,Rua e bairro,Acessibilidade - solicitar avaliação de obstáculo na calçada,poligono,resultados/2015/rua-e-bairro/poligonos/acessibilidade-solicitar-avaliacao-de-obstaculo-na-calcada.gpkg,95
2015,Rua e bairro,Calçada particular - denunciar calçada danificada ou inexistente,poligono,resultados/2015/rua-e-bairro/poligonos/calcada-particular-denunciar-calcada-danificada-ou-inexistente.gpkg,96
2015,Rua e bairro,Denunciar despejo irregular de água usada ou esgoto,poligono,resultados/2015/rua-e-bairro/poligonos/denunciar-despejo-irregular-de-agua-usada-ou-esgoto.gpkg,95
2015,Rua e bairro,Solicitar plantio de árvores em passeio público ou calçada,poligono,resultados/2015/rua-e-bairro/poligonos/solicitar-plantio-de-arvores-em-passeio-publico-ou-calcada.gpkg,95
2015,Rua e bairro,Árvore - denunciar poda ou remoção não autorizada,poligono,resultados/2015/rua-e-bairro/poligonos/arvore-denunciar-poda-ou-remocao-nao-autorizada.gpkg,95
2015,Rua e bairro,"Denúncia de reparo mal executado de calçada por companhias de luz, água, telefone, internet",poligono,resultados/2015/rua-e-bairro/poligonos/denuncia-de-reparo-mal-executado-de-calcada-por-companhias-de-luz-agua-telefone-internet.gpkg,86
2015,Rua e bairro,Denunciar loteamento irregular ou clandestino,poligono,resultados/2015/rua-e-bairro/poligonos/denunciar-loteamento-irregular-ou-clandestino.gpkg,94
2015,Rua e bairro,Denunciar terreno com muro danificado/inexistente,poligono,resultados/2015/rua-e-bairro/poligonos/denunciar-terreno-com-muro-danificado-inexistente.gpkg,83
2015,Rua e bairro,Praças - sugerir reforma e revitalização,poligono,resultados/2015/rua-e-bairro/poligonos/pracas-sugerir-reforma-e-revitalizacao.gpkg,94
2015,Rua e bairro,Guias para travessia de pedestres - Solicitar rebaixamento,poligono,resultados/2015/rua-e-bairro/poligonos/guias-para-travessia-de-pedestres-solicitar-rebaixamento.gpkg,93
2015,Rua e bairro,Denúncia de despejo de água de chuva,poligono,resultados/2015/rua-e-bairro/poligonos/denuncia-de-despejo-de-agua-de-chuva.gpkg,65
2015,Rua e bairro,Recurso de multa muro/passeio/limpeza,poligono,resultados/2015/rua-e-bairro/poligonos/recurso-de-multa-muro-passeio-limpeza.gpkg,75
2015,Rua e bairro,Solicitar fiscalização de ambulantes,poligono,resultados/2015/rua-e-bairro/poligonos/solicitar-fiscalizacao-de-ambulantes.gpkg,94
2015,Rua e bairro,Denunciar falta de limpeza de terrenos e imóveis particulares,poligono,resultados/2015/rua-e-bairro/poligonos/denunciar-falta-de-limpeza-de-terrenos-e-imoveis-particulares.gpkg,92
2015,Rua e bairro,Reparo de luminária,poligono,resultados/2015/rua-e-bairro/poligonos/reparo-de-luminaria.gpkg,83
2015,Rua e bairro,"Guias, sarjetas e sarjetões - solicitar manutenção",poligono,resultados/2015/rua-e-bairro/poligonos/guias-sarjetas-e-sarjetoes-solicitar-manutencao.gpkg,10
2015,Rua e bairro,Solicitar acerto de numeração de imóvel,poligono,resultados/2015/rua-e-bairro/poligonos/solicitar-acerto-de-numeracao-de-imovel.gpkg,65
2015,Rua e bairro,Reparo de transformador/chave,poligono,resultados/2015/rua-e-bairro/poligonos/reparo-de-transformador-chave.gpkg,37
2015,Rua e bairro,"Limpeza de valas, valetas e sarjetões",poligono,resultados/2015/rua-e-bairro/poligonos/limpeza-de-valas-valetas-e-sarjetoes.gpkg,62
2015,Rua e bairro,Denúncia de ligação irregular de esgoto,poligono,resultados/2015/rua-e-bairro/poligonos/denuncia-de-ligacao-irregular-de-esgoto.gpkg,67
2015,Rua e bairro,Reparo da fiação elétrica,poligono,resultados/2015/rua-e-bairro/poligonos/reparo-da-fiacao-eletrica.gpkg,84
2015,Rua e bairro,Vielas e escadarias - solicitar manutenção,poligono,resultados/2015/rua-e-bairro/poligonos/vielas-e-escadarias-solicitar-manutencao.gpkg,65
2015,Rua e bairro,Construção de muro de arrimo/contenção,poligono,resultados/2015/rua-e-bairro/poligonos/construcao-de-muro-de-arrimo-contencao.gpkg,41
2015,Rua e bairro,Denúncia de falta de plantio de uma nova árvore após remoção,poligono,resultados/2015/rua-e-bairro/poligonos/denuncia-de-falta-de-plantio-de-uma-nova-arvore-apos-remocao.gpkg,18
2015,Rua e bairro,Nivelamento de vias de terra,poligono,resultados/2015/rua-e-bairro/poligonos/nivelamento-de-vias-de-terra.gpkg,41
2015,Rua e bairro,Denunciar fechamento de ruas e vilas,poligono,resultados/2015/rua-e-bairro/poligonos/denunciar-fechamento-de-ruas-e-vilas.gpkg,44
2015,Rua e bairro,Recolocação e ajuste de paralelepípedo,poligono,resultados/2015/rua-e-bairro/poligonos/recolocacao-e-ajuste-de-paralelepipedo.gpkg,36
2015,Rua e bairro,Reparo de poste de luz metálico,poligono,resultados/2015/rua-e-bairro/poligonos/reparo-de-poste-de-luz-metalico.gpkg,70
2015,Rua e bairro,Reclamação de pintura de guias e postes mal feita,poligono,resultados/2015/rua-e-bairro/poligonos/reclamacao-de-pintura-de-guias-e-postes-mal-feita.gpkg,18
2015,Rua e bairro,Avaliação e serviços em árvore em área particular,poligono,resultados/2015/rua-e-bairro/poligonos/avaliacao-e-servicos-em-arvore-em-area-particular.gpkg,3
2015,Cidadania e assistência social,Serviço Especializado de Abordagem Social às Pessoas em Situação de Rua - SEAS,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/servico-especializado-de-abordagem-social-as-pessoas-em-situacao-de-rua-seas.gpkg,96
2015,Cidadania e assistência social,Denúncia de humilhação e discriminação,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/denuncia-de-humilhacao-e-discriminacao.gpkg,46
2015,Cidadania e assistência social,Programa Renda Mínima -  Denúncia de cadastramento/recebimento de benefício indevido,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-renda-minima-denuncia-de-cadastramento-recebimento-de-beneficio-indevido.gpkg,70
2015,Cidadania e assistência social,Programa Bolsa Família - Reclamação de mau atendimento nos postos de atendimento,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-bolsa-familia-reclamacao-de-mau-atendimento-nos-postos-de-atendimento.gpkg,62
2015,Cidadania e assistência social,Denunciar abuso financeiro e econômico de pessoa idosa,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/denunciar-abuso-financeiro-e-economico-de-pessoa-idosa.gpkg,13
2015,Cidadania e assistência social,Denunciar violência e maus tratos de pessoa idosa,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/denunciar-violencia-e-maus-tratos-de-pessoa-idosa.gpkg,50
2015,Cidadania e assistência social,Programa Bolsa Família -  Denúncia de cadastramento/recebimento de benefício indevido,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-bolsa-familia-denuncia-de-cadastramento-recebimento-de-beneficio-indevido.gpkg,41
2015,Cidadania e assistência social,Programa Renda Cidadã -  Denúncia de cadastramento/recebimento de benefício indevido,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-renda-cidada-denuncia-de-cadastramento-recebimento-de-beneficio-indevido.gpkg,43
2015,Cidadania e assistência social,Programa Renda Mínima - Reclamação de mau atendimento nos postos de atendimento,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-renda-minima-reclamacao-de-mau-atendimento-nos-postos-de-atendimento.gpkg,15
2015,Cidadania e assistência social,Programa Renda Cidadã - Reclamação de mau atendimento nos postos de atendimento,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-renda-cidada-reclamacao-de-mau-atendimento-nos-postos-de-atendimento.gpkg,5
2015,Cidadania e assistência social,Programa Ação Jovem -  Denúncia de cadastramento/recebimento de benefício indevido,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-acao-jovem-denuncia-de-cadastramento-recebimento-de-beneficio-indevido.gpkg,11
2015,Cidadania e assistência social,Programa Ação Jovem - Reclamação de mau atendimento nos postos de atendimento,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-acao-jovem-reclamacao-de-mau-atendimento-nos-postos-de-atendimento.gpkg,10
2015,Cidadania e assistência social,Denunciar racismo,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/denunciar-racismo.gpkg,4
2015,Cidadania e assistência social,Programa de Erradicação do Trabalho Infantil (PETI) - Reclamação de mau atendimento nos postos de atendimento,poligono,resultados/2015/cidadania-e-assistencia-social/poligonos/programa-de-erradicacao-do-trabalho-infantil-peti-reclamacao-de-mau-atendimento-nos-postos-de-atendimento.gpkg,2
2015,Lixo e limpeza,Lixo domiciliar – Denunciar colocação de lixo fora do horário de coleta,poligono,resultados/2015/lixo-e-limpeza/poligonos/lixo-domiciliar-denunciar-colocacao-de-lixo-fora-do-horario-de-coleta.gpkg,94
2015,Lixo e limpeza,Reclamação de não retirada de material,poligono,resultados/2015/lixo-e-limpeza/poligonos/reclamacao-de-nao-retirada-de-material.gpkg,95
2015,Lixo e limpeza,Reclamações sobre coleta de lixo domiciliar,poligono,resultados/2015/lixo-e-limpeza/poligonos/reclamacoes-sobre-coleta-de-lixo-domiciliar.gpkg,95
2015,Lixo e limpeza,Denunciar descarte irregular de entulho e outros resíduos em área pública,poligono,resultados/2015/lixo-e-limpeza/poligonos/denunciar-descarte-irregular-de-entulho-e-outros-residuos-em-area-publica.gpkg,96
2015,Lixo e limpeza,Denúncia de falta de limpeza em imóveis particulares,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-falta-de-limpeza-em-imoveis-particulares.gpkg,95
2015,Lixo e limpeza,Denúncia de calçada particular suja/sem limpeza adequada,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-calcada-particular-suja-sem-limpeza-adequada.gpkg,95
2015,Lixo e limpeza,Denúncia de caçamba de entulho,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-cacamba-de-entulho.gpkg,96
2015,Lixo e limpeza,Denúncia de má conduta dos funcionários (motoristas /coletores),poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-ma-conduta-dos-funcionarios-motoristas-coletores.gpkg,96
2015,Lixo e limpeza,Remoção de propaganda irregular,poligono,resultados/2015/lixo-e-limpeza/poligonos/remocao-de-propaganda-irregular.gpkg,92
2015,Lixo e limpeza,Limpar lixeiras públicas,poligono,resultados/2015/lixo-e-limpeza/poligonos/limpar-lixeiras-publicas.gpkg,81
2015,Lixo e limpeza,Denúncia de grande gerador de resíduos colocando lixo na coleta normal,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-grande-gerador-de-residuos-colocando-lixo-na-coleta-normal.gpkg,92
2015,Lixo e limpeza,Denúncia de lavagem de calçada fora de horário,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-lavagem-de-calcada-fora-de-horario.gpkg,48
2015,Lixo e limpeza,Denúncia de lixão clandestino,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-lixao-clandestino.gpkg,95
2015,Lixo e limpeza,Denúncia de pessoa ateando fogo no lixo,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-pessoa-ateando-fogo-no-lixo.gpkg,81
2015,Lixo e limpeza,Solicitar fiscalização de feira livre,poligono,resultados/2015/lixo-e-limpeza/poligonos/solicitar-fiscalizacao-de-feira-livre.gpkg,84
2015,Lixo e limpeza,Reclamações sobre Ecoponto,poligono,resultados/2015/lixo-e-limpeza/poligonos/reclamacoes-sobre-ecoponto.gpkg,72
2015,Lixo e limpeza,Varrição de vias - incluir programação,poligono,resultados/2015/lixo-e-limpeza/poligonos/varricao-de-vias-incluir-programacao.gpkg,81
2015,Lixo e limpeza,Denúncia de má conduta dos funcionários de limpeza,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-ma-conduta-dos-funcionarios-de-limpeza.gpkg,85
2015,Lixo e limpeza,Ecoponto - o que é?,poligono,resultados/2015/lixo-e-limpeza/poligonos/ecoponto-o-que-e.gpkg,22
2015,Lixo e limpeza,Denúncia de caçamba de entulho de obra/construção,poligono,resultados/2015/lixo-e-limpeza/poligonos/denuncia-de-cacamba-de-entulho-de-obra-construcao.gpkg,83
2015,Lixo e limpeza,Denunciar panfletagem irregular,poligono,resultados/2015/lixo-e-limpeza/poligonos/denunciar-panfletagem-irregular.gpkg,36
